run,sets_ops,sets_hits,sets_misses,sets_avg_lat,sets_p50,sets_p99,sets_p999,sets_kb,gets_ops,gets_hits,gets_misses,gets_avg_lat,gets_p50,gets_p99,gets_p999,gets_kb,tot_ops,tot_hits,tot_misses,tot_avg_lat,tot_p50,tot_p99,tot_p999,tot_kb
1,9338.09,0.0,0.0,0.857,0.695,6.047,11.135,1603.92,37349.78,34.06,37315.72,0.854,0.695,6.047,11.135,1459.26,46687.87,34.06,37315.72,0.0,0.695,6.047,11.135,3063.17
2,8815.17,0.0,0.0,0.881,0.703,6.975,11.135,1514.1,35258.05,32.26,35225.79,0.875,0.695,6.879,11.135,1377.54,44073.22,32.26,35225.79,0.0,0.703,6.911,11.135,2891.64
3,9065.63,0.0,0.0,0.913,0.703,6.975,10.751,1557.13,36259.38,33.2,36226.18,0.911,0.703,6.943,10.687,1416.67,45325.01,33.2,36226.18,0.0,0.703,6.943,10.751,2973.8
4,9356.88,0.0,0.0,0.854,0.687,6.335,11.007,1607.14,37424.61,34.3,37390.31,0.853,0.687,6.367,11.007,1462.2,46781.49,34.3,37390.31,0.0,0.687,6.367,11.007,3069.35
5,8915.58,0.0,0.0,0.898,0.695,7.071,11.071,1531.36,35659.65,33.3,35626.35,0.895,0.695,7.007,11.071,1393.32,44575.23,33.3,35626.35,0.0,0.695,7.007,11.071,2924.68
6,8741.45,0.0,0.0,0.918,0.711,6.879,10.879,1501.45,34963.35,32.56,34930.78,0.912,0.711,6.879,10.815,1366.11,43704.8,32.56,34930.78,0.0,0.711,6.879,10.815,2867.56
7,8898.74,0.0,0.0,0.897,0.687,7.359,11.135,1528.47,35592.48,32.96,35559.52,0.897,0.679,7.423,11.135,1390.66,44491.22,32.96,35559.52,0.0,0.679,7.423,11.135,2919.12
8,9029.82,0.0,0.0,0.888,0.695,7.007,11.135,1550.98,36116.7,33.33,36083.36,0.883,0.695,6.975,11.135,1411.12,45146.52,33.33,36083.36,0.0,0.695,6.975,11.135,2962.1
9,9520.19,0.0,0.0,0.839,0.687,5.503,10.879,1635.2,38078.25,34.66,38043.58,0.838,0.687,5.599,10.943,1487.72,47598.44,34.66,38043.58,0.0,0.687,5.567,10.879,3122.92
10,9436.59,0.0,0.0,0.848,0.679,6.815,11.135,1620.84,37743.44,34.66,37708.77,0.845,0.679,6.751,11.071,1474.67,47180.03,34.66,37708.77,0.0,0.679,6.751,11.135,3095.51
11,9034.77,0.0,0.0,0.882,0.695,7.007,11.135,1551.83,36136.92,33.33,36103.59,0.884,0.695,7.135,11.135,1411.91,45171.69,33.33,36103.59,0.0,0.695,7.135,11.135,2963.73
12,8676.97,0.0,0.0,0.92,0.687,7.231,11.135,1490.37,34705.25,32.0,34673.25,0.92,0.679,7.295,11.135,1355.98,43382.22,32.0,34673.25,0.0,0.687,7.295,11.135,2846.36
13,8388.14,0.0,0.0,0.954,0.703,7.839,11.135,1440.76,33550.13,32.0,33518.14,0.951,0.703,7.871,11.135,1311.0,41938.28,32.0,33518.14,0.0,0.703,7.871,11.135,2751.76
14,9043.83,0.0,0.0,0.886,0.695,6.751,11.071,1553.38,36172.79,33.19,36139.6,0.882,0.695,6.655,11.071,1413.29,45216.63,33.19,36139.6,0.0,0.695,6.687,11.071,2966.67
15,9291.67,0.0,0.0,0.861,0.703,6.047,10.879,1595.94,37164.03,33.53,37130.5,0.859,0.695,5.983,10.879,1451.95,46455.7,33.53,37130.5,0.0,0.703,6.015,10.879,3047.89
16,9564.45,0.0,0.0,0.837,0.703,5.343,10.239,1642.8,38254.85,34.66,38220.18,0.834,0.695,5.215,10.303,1494.59,47819.3,34.66,38220.18,0.0,0.695,5.247,10.303,3137.39
17,9151.85,0.0,0.0,0.875,0.703,6.495,10.879,1571.93,36604.17,33.33,36570.84,0.872,0.703,6.463,10.879,1430.11,45756.02,33.33,36570.84,0.0,0.703,6.463,10.879,3002.04
18,9382.81,0.0,0.0,0.851,0.695,5.983,10.303,1611.6,37529.11,34.16,37494.94,0.851,0.695,6.015,10.367,1466.26,46911.92,34.16,37494.94,0.0,0.695,6.015,10.367,3077.86
19,9061.52,0.0,0.0,0.881,0.703,6.431,10.879,1556.42,36243.47,33.33,36210.13,0.881,0.703,6.559,10.879,1416.06,45304.98,33.33,36210.13,0.0,0.703,6.527,10.879,2972.48
20,9611.69,0.0,0.0,0.832,0.687,5.599,10.943,1650.91,38443.98,34.65,38409.32,0.83,0.687,5.599,10.943,1501.95,48055.67,34.65,38409.32,0.0,0.687,5.599,10.943,3152.86
21,8643.33,0.0,0.0,0.927,0.695,8.447,11.647,1484.6,34570.17,32.0,34538.17,0.923,0.695,8.383,11.583,1350.72,43213.5,32.0,34538.17,0.0,0.695,8.383,11.583,2835.32
22,6247.13,0.0,0.0,1.281,0.719,11.135,12.415,1073.0,24986.21,26.66,24959.54,1.278,0.719,11.135,12.415,976.68,31233.34,26.66,24959.54,1.0,0.719,11.135,12.415,2049.68
23,6379.95,0.0,0.0,1.26,0.719,11.071,12.415,1095.81,25517.29,26.67,25490.63,1.25,0.719,11.071,12.415,997.37,31897.24,26.67,25490.63,1.0,0.719,11.071,12.415,2093.18
24,6350.88,0.0,0.0,1.26,0.703,11.071,12.415,1090.82,25401.0,26.66,25374.34,1.257,0.703,11.071,12.479,992.84,31751.88,26.66,25374.34,1.0,0.703,11.071,12.479,2083.66
25,6169.01,0.0,0.0,1.25,0.703,11.071,12.415,1059.58,24673.84,25.8,24648.04,1.254,0.703,11.071,12.415,964.41,30842.85,25.8,24648.04,1.0,0.703,11.071,12.415,2023.99
26,6623.55,0.0,0.0,1.251,0.703,10.943,12.287,1137.66,26491.0,27.58,26463.42,1.247,0.703,10.943,12.223,1035.42,33114.55,27.58,26463.42,1.0,0.703,10.943,12.287,2173.07
27,6431.41,0.0,0.0,1.251,0.695,11.199,12.351,1104.65,25722.75,26.66,25696.09,1.24,0.695,11.135,12.351,1005.37,32154.16,26.66,25696.09,1.0,0.695,11.135,12.351,2110.03
28,5980.3,0.0,0.0,1.293,0.719,11.071,12.415,1027.17,23919.02,25.7,23893.32,1.293,0.719,11.007,12.415,934.99,29899.33,25.7,23893.32,1.0,0.719,11.007,12.415,1962.16
29,6481.85,0.0,0.0,1.231,0.711,10.943,12.287,1113.31,25924.54,26.66,25897.88,1.233,0.711,10.943,12.287,1013.24,32406.39,26.66,25897.88,1.0,0.711,10.943,12.287,2126.55
30,6619.24,0.0,0.0,1.212,0.703,10.879,12.287,1136.9,26474.55,26.66,26447.89,1.205,0.703,10.879,12.287,1034.66,33093.79,26.66,26447.89,1.0,0.703,10.879,12.287,2171.56
31,6256.23,0.0,0.0,1.277,0.711,11.135,12.415,1074.56,25022.29,26.66,24995.62,1.277,0.711,11.135,12.415,978.09,31278.52,26.66,24995.62,1.0,0.711,11.135,12.415,2052.65
32,6251.51,0.0,0.0,1.282,0.711,11.007,12.351,1073.75,25003.63,26.66,24976.97,1.277,0.711,11.007,12.351,977.36,31255.14,26.66,24976.97,1.0,0.711,11.007,12.351,2051.11
