run,sets_ops,sets_hits,sets_misses,sets_avg_lat,sets_p50,sets_p99,sets_p999,sets_kb,gets_ops,gets_hits,gets_misses,gets_avg_lat,gets_p50,gets_p99,gets_p999,gets_kb,tot_ops,tot_hits,tot_misses,tot_avg_lat,tot_p50,tot_p99,tot_p999,tot_kb
1,8151.86,0.0,0.0,0.984,0.703,3.967,4.959,1400.18,32604.53,23.23,32581.3,0.979,0.703,3.967,4.959,1273.04,40756.39,23.23,32581.3,0.0,0.703,3.967,4.959,2673.22
2,7583.46,0.0,0.0,1.058,0.719,4.063,5.887,1302.53,30331.22,21.3,30309.93,1.052,0.719,4.047,5.919,1184.21,37914.69,21.3,30309.93,1.0,0.719,4.047,5.919,2486.75
3,8175.69,0.0,0.0,0.979,0.703,3.919,5.631,1404.27,32700.27,23.3,32676.98,0.976,0.695,3.903,5.567,1276.78,40875.97,23.3,32676.98,0.0,0.695,3.903,5.567,2681.05
4,8125.05,0.0,0.0,0.987,0.719,3.967,5.023,1395.58,32497.47,23.0,32474.47,0.982,0.719,3.951,5.055,1268.84,40622.52,23.0,32474.47,0.0,0.719,3.951,5.055,2664.41
5,6442.63,0.0,0.0,1.245,0.743,5.407,6.975,1106.58,25768.23,20.0,25748.23,1.239,0.743,5.343,6.975,1006.29,32210.86,20.0,25748.23,1.0,0.743,5.343,6.975,2112.87
6,7995.82,0.0,0.0,0.999,0.719,3.951,5.087,1373.37,31980.51,22.66,31957.84,0.999,0.719,3.967,5.119,1248.65,39976.32,22.66,31957.84,0.0,0.719,3.967,5.119,2622.02
7,8369.83,0.0,0.0,0.955,0.711,3.903,4.831,1437.62,33476.61,24.0,33452.61,0.954,0.711,3.903,4.831,1307.12,41846.43,24.0,33452.61,0.0,0.711,3.903,4.831,2744.73
8,7919.6,0.0,0.0,1.01,0.735,3.967,5.119,1360.28,31675.7,22.66,31653.04,1.008,0.727,3.967,5.055,1236.76,39595.3,22.66,31653.04,1.0,0.727,3.967,5.087,2597.04
9,7713.02,0.0,0.0,1.005,0.735,4.031,5.343,1324.8,30849.22,21.93,30827.29,1.001,0.735,4.031,5.279,1204.48,38562.24,21.93,30827.29,1.0,0.735,4.031,5.311,2529.28
10,8682.85,0.0,0.0,0.954,0.703,3.935,5.119,1491.38,34728.45,24.83,34703.63,0.951,0.703,3.919,5.055,1355.99,43411.3,24.83,34703.63,0.0,0.703,3.919,5.087,2847.37
11,7996.83,0.0,0.0,1.001,0.727,4.031,4.927,1373.55,31984.44,22.67,31961.77,0.998,0.727,4.015,4.927,1248.8,39981.26,22.67,31961.77,0.0,0.727,4.015,4.927,2622.35
12,8008.32,0.0,0.0,0.999,0.727,3.967,4.863,1375.52,32031.09,22.67,32008.43,0.997,0.727,3.967,4.863,1250.62,40039.41,22.67,32008.43,0.0,0.727,3.967,4.863,2626.14
13,7887.02,0.0,0.0,1.013,0.735,3.983,5.151,1354.68,31545.75,22.66,31523.09,1.013,0.735,3.999,5.151,1231.7,39432.77,22.66,31523.09,1.0,0.735,3.999,5.151,2586.38
14,7863.38,0.0,0.0,1.015,0.719,4.015,5.151,1350.62,31450.87,22.67,31428.2,1.016,0.719,4.031,5.087,1228.0,39314.24,22.67,31428.2,1.0,0.719,4.031,5.087,2578.62
15,8492.97,0.0,0.0,0.941,0.687,3.919,4.767,1458.77,33969.12,24.0,33945.12,0.94,0.687,3.919,4.767,1326.29,42462.09,24.0,33945.12,0.0,0.687,3.919,4.767,2785.06
16,8187.19,0.0,0.0,0.98,0.711,3.983,4.959,1406.25,32746.08,23.6,32722.48,0.974,0.711,3.983,4.895,1278.6,40933.27,23.6,32722.48,0.0,0.711,3.983,4.927,2684.85
17,8488.53,0.0,0.0,0.942,0.695,3.903,4.767,1458.0,33951.24,24.0,33927.24,0.941,0.687,3.887,4.799,1325.6,42439.77,24.0,33927.24,0.0,0.687,3.887,4.799,2783.6
18,8174.79,0.0,0.0,0.948,0.687,3.935,4.767,1404.12,32696.91,23.22,32673.68,0.945,0.687,3.935,4.799,1276.64,40871.7,23.22,32673.68,0.0,0.687,3.935,4.799,2680.76
19,8582.2,0.0,0.0,0.966,0.695,3.903,4.831,1474.1,34325.84,24.79,34301.05,0.962,0.695,3.903,4.863,1340.3,42908.04,24.79,34301.05,0.0,0.695,3.903,4.863,2814.39
20,8099.95,0.0,0.0,0.988,0.711,3.967,5.055,1391.26,32397.58,22.77,32374.82,0.985,0.711,3.951,5.183,1264.91,40497.54,22.77,32374.82,0.0,0.711,3.951,5.183,2656.18
21,8136.8,0.0,0.0,0.983,0.703,3.999,5.663,1397.59,32544.07,23.03,32521.04,0.981,0.703,3.983,5.631,1270.66,40680.87,23.03,32521.04,0.0,0.703,3.983,5.631,2668.25
22,8267.78,0.0,0.0,0.968,0.687,3.967,4.831,1420.09,33068.58,23.57,33045.01,0.965,0.687,3.951,4.767,1291.16,41336.36,23.57,33045.01,0.0,0.687,3.951,4.799,2711.25
23,7780.1,0.0,0.0,1.027,0.719,4.047,4.991,1336.31,31117.45,22.43,31095.02,1.026,0.719,4.047,4.959,1214.99,38897.54,22.43,31095.02,1.0,0.719,4.047,4.991,2551.3
24,7385.51,0.0,0.0,1.049,0.743,4.047,5.247,1268.53,29540.02,20.74,29519.28,1.046,0.743,4.047,5.215,1153.32,36925.53,20.74,29519.28,1.0,0.743,4.047,5.215,2421.86
25,8283.42,0.0,0.0,0.999,0.719,4.015,5.695,1422.77,33131.75,23.45,33108.3,0.997,0.711,4.015,5.663,1293.59,41415.17,23.45,33108.3,0.0,0.711,4.015,5.663,2716.37
26,8070.6,0.0,0.0,0.992,0.735,3.951,4.895,1386.22,32279.58,22.66,32256.92,0.989,0.735,3.951,4.863,1260.3,40350.19,22.66,32256.92,0.0,0.735,3.951,4.863,2646.52
27,7561.89,0.0,0.0,1.023,0.735,4.015,5.023,1298.83,30244.83,21.93,30222.9,1.022,0.727,4.015,5.055,1180.93,37806.72,21.93,30222.9,1.0,0.727,4.015,5.055,2479.77
28,8121.46,0.0,0.0,1.021,0.735,3.983,5.311,1394.95,32482.92,23.45,32459.47,1.016,0.735,3.983,5.343,1268.3,40604.38,23.45,32459.47,1.0,0.735,3.983,5.311,2663.25
29,7873.58,0.0,0.0,1.018,0.735,3.999,4.927,1352.37,31491.99,22.67,31469.32,1.014,0.735,3.999,4.863,1229.61,39365.57,22.67,31469.32,1.0,0.735,3.999,4.895,2581.98
30,7425.09,0.0,0.0,1.044,0.759,4.031,5.151,1275.34,29697.73,21.06,29676.67,1.04,0.759,4.047,5.151,1159.51,37122.83,21.06,29676.67,1.0,0.759,4.047,5.151,2434.85
31,8085.83,0.0,0.0,1.022,0.735,4.031,5.311,1388.83,32340.52,23.45,32317.07,1.022,0.727,4.031,5.247,1262.76,40426.35,23.45,32317.07,1.0,0.735,4.031,5.247,2651.59
32,8262.02,0.0,0.0,0.97,0.703,3.951,4.831,1419.1,33045.91,23.67,33022.25,0.966,0.703,3.935,4.895,1290.29,41307.93,23.67,33022.25,0.0,0.703,3.951,4.863,2709.39
33,7981.28,0.0,0.0,1.002,0.727,3.999,5.055,1370.87,31922.52,22.66,31899.86,1.0,0.719,3.999,4.991,1246.39,39903.8,22.66,31899.86,1.0,0.727,3.999,5.023,2617.26
34,8153.69,0.0,0.0,0.982,0.703,3.951,4.735,1400.49,32611.96,23.3,32588.67,0.979,0.703,3.951,4.767,1273.34,40765.65,23.3,32588.67,0.0,0.703,3.951,4.735,2673.83
