run,sets_ops,sets_hits,sets_misses,sets_avg_lat,sets_p50,sets_p99,sets_p999,sets_kb,gets_ops,gets_hits,gets_misses,gets_avg_lat,gets_p50,gets_p99,gets_p999,gets_kb,tot_ops,tot_hits,tot_misses,tot_avg_lat,tot_p50,tot_p99,tot_p999,tot_kb
1,11593.58,0.0,0.0,0.689,0.671,1.199,1.991,1991.33,46371.43,31.96,46339.46,0.688,0.671,1.199,2.111,1810.41,57965.01,31.96,46339.46,0.0,0.671,1.199,2.079,3801.74
2,11135.05,0.0,0.0,0.718,0.687,1.255,1.847,1912.57,44538.41,41.33,44497.08,0.717,0.679,1.255,1.855,1740.22,55673.46,41.33,44497.08,0.0,0.687,1.255,1.847,3652.79
3,10429.26,0.0,0.0,0.767,0.719,1.319,2.015,1791.34,41714.42,38.6,41675.82,0.765,0.719,1.319,1.999,1629.87,52143.68,38.6,41675.82,0.0,0.719,1.319,1.999,3421.21
4,11386.75,0.0,0.0,0.702,0.679,1.239,1.751,1955.8,45544.34,41.7,45502.64,0.701,0.679,1.231,1.735,1779.45,56931.09,41.7,45502.64,0.0,0.679,1.239,1.743,3735.25
5,10750.64,0.0,0.0,0.72,0.687,1.255,1.799,1846.54,43000.08,39.84,42960.24,0.718,0.687,1.255,1.831,1680.11,53750.72,39.84,42960.24,0.0,0.687,1.255,1.823,3526.65
6,11161.85,0.0,0.0,0.741,0.695,1.271,1.863,1917.17,44644.47,40.79,44603.68,0.74,0.695,1.271,1.863,1744.29,55806.32,40.79,44603.68,0.0,0.695,1.271,1.863,3661.46
7,10727.27,0.0,0.0,0.745,0.695,1.279,1.871,1842.53,42906.46,38.96,42867.49,0.744,0.695,1.279,1.895,1676.35,53633.73,38.96,42867.49,0.0,0.695,1.279,1.887,3518.88
8,11631.6,0.0,0.0,0.687,0.663,1.199,1.831,1997.86,46523.79,42.7,46481.09,0.686,0.663,1.199,1.871,1817.72,58155.39,42.7,46481.09,0.0,0.663,1.199,1.863,3815.57
9,10864.78,0.0,0.0,0.736,0.703,1.279,1.871,1866.15,43456.97,39.93,43417.04,0.735,0.703,1.279,1.879,1697.92,54321.75,39.93,43417.04,0.0,0.703,1.279,1.879,3564.07
10,11042.27,0.0,0.0,0.724,0.695,1.271,1.935,1896.64,44166.32,41.06,44125.26,0.723,0.695,1.271,1.927,1725.7,55208.6,41.06,44125.26,0.0,0.695,1.271,1.927,3622.34
11,10341.15,0.0,0.0,0.748,0.711,1.279,1.863,1776.2,41362.41,37.42,41324.99,0.747,0.711,1.279,1.903,1616.01,51703.56,37.42,41324.99,0.0,0.711,1.279,1.895,3392.22
12,11072.87,0.0,0.0,0.747,0.711,1.279,1.887,1901.89,44288.97,40.0,44248.97,0.746,0.711,1.279,1.895,1730.34,55361.84,40.0,44248.97,0.0,0.711,1.279,1.887,3632.23
13,10670.94,0.0,0.0,0.749,0.703,1.311,2.079,1832.85,42681.01,38.66,42642.35,0.748,0.703,1.303,2.031,1667.54,53351.95,38.66,42642.35,0.0,0.703,1.303,2.039,3500.39
14,10316.53,0.0,0.0,0.75,0.711,1.295,1.967,1771.98,41263.51,37.42,41226.09,0.749,0.711,1.295,1.951,1612.16,51580.04,37.42,41226.09,0.0,0.711,1.295,1.959,3384.14
15,11320.94,0.0,0.0,0.73,0.695,1.287,1.919,1944.5,45280.9,41.55,45239.35,0.729,0.695,1.295,1.911,1769.18,56601.84,41.55,45239.35,0.0,0.695,1.287,1.911,3713.68
16,11188.57,0.0,0.0,0.715,0.695,1.231,1.863,1921.76,44751.65,41.33,44710.32,0.713,0.695,1.223,1.791,1748.52,55940.22,41.33,44710.32,0.0,0.695,1.231,1.815,3670.28
17,10157.81,0.0,0.0,0.762,0.711,1.319,1.959,1744.72,40628.5,37.42,40591.08,0.76,0.711,1.311,1.959,1587.42,50786.31,37.42,40591.08,0.0,0.711,1.311,1.959,3332.15
18,11520.74,0.0,0.0,0.718,0.695,1.239,1.695,1978.82,46080.17,42.69,46037.49,0.717,0.695,1.231,1.695,1800.45,57600.92,42.69,46037.49,0.0,0.695,1.239,1.695,3779.27
19,11849.04,0.0,0.0,0.675,0.655,1.167,1.567,2035.2,47393.96,43.9,47350.07,0.673,0.655,1.167,1.567,1851.77,59243.0,43.9,47350.07,0.0,0.655,1.167,1.567,3886.98
20,11099.76,0.0,0.0,0.72,0.687,1.223,1.823,1906.51,44396.45,41.26,44355.18,0.719,0.679,1.223,1.823,1734.68,55496.21,41.26,44355.18,0.0,0.679,1.223,1.823,3641.19
21,10608.57,0.0,0.0,0.754,0.711,1.287,1.911,1822.14,42431.27,38.66,42392.6,0.752,0.711,1.287,1.911,1657.81,53039.84,38.66,42392.6,0.0,0.711,1.287,1.911,3479.95
22,11017.91,0.0,0.0,0.726,0.687,1.255,1.815,1892.45,44068.64,40.8,44027.84,0.724,0.687,1.247,1.831,1721.86,55086.55,40.8,44027.84,0.0,0.687,1.247,1.823,3614.31
23,10874.16,0.0,0.0,0.735,0.687,1.303,1.879,1867.76,43493.46,39.93,43453.53,0.734,0.687,1.295,1.871,1699.34,54367.61,39.93,43453.53,0.0,0.687,1.303,1.871,3567.1
24,11296.83,0.0,0.0,0.708,0.679,1.231,1.759,1940.36,45184.21,41.33,45142.88,0.706,0.679,1.231,1.759,1765.37,56481.04,41.33,45142.88,0.0,0.679,1.231,1.759,3705.73
25,11390.47,0.0,0.0,0.702,0.679,1.215,1.687,1956.44,45559.27,41.7,45517.57,0.701,0.679,1.215,1.727,1780.03,56949.74,41.7,45517.57,0.0,0.679,1.215,1.719,3736.47
26,10683.17,0.0,0.0,0.748,0.703,1.279,1.823,1834.95,42729.93,38.66,42691.26,0.747,0.703,1.279,1.831,1669.44,53413.09,38.66,42691.26,0.0,0.703,1.279,1.831,3504.39
27,11010.17,0.0,0.0,0.726,0.695,1.279,1.895,1891.12,44038.27,40.73,43997.54,0.725,0.687,1.287,1.887,1720.67,55048.44,40.73,43997.54,0.0,0.687,1.287,1.887,3611.79
28,11653.57,0.0,0.0,0.686,0.663,1.207,1.631,2001.63,46611.56,42.93,46568.63,0.685,0.663,1.207,1.631,1821.16,58265.13,42.93,46568.63,0.0,0.663,1.207,1.631,3822.8
29,10551.75,0.0,0.0,0.757,0.711,1.303,1.855,1812.38,42204.25,38.66,42165.58,0.757,0.711,1.303,1.863,1648.97,52755.99,38.66,42165.58,0.0,0.711,1.303,1.863,3461.34
30,10616.46,0.0,0.0,0.753,0.711,1.303,1.871,1823.49,42463.46,38.66,42424.79,0.752,0.703,1.303,1.895,1659.06,53079.91,38.66,42424.79,0.0,0.703,1.303,1.887,3482.56
31,10650.38,0.0,0.0,0.751,0.703,1.327,1.895,1829.32,42598.72,38.7,42560.03,0.749,0.703,1.319,1.879,1664.34,53249.1,38.7,42560.03,0.0,0.703,1.319,1.887,3493.65
32,11000.74,0.0,0.0,0.727,0.695,1.271,1.855,1889.5,44000.74,40.76,43959.98,0.725,0.687,1.271,1.847,1719.21,55001.48,40.76,43959.98,0.0,0.687,1.271,1.847,3608.71
33,10359.42,0.0,0.0,0.772,0.719,1.335,1.943,1779.35,41435.09,38.4,41396.7,0.771,0.719,1.335,1.927,1618.96,51794.52,38.4,41396.7,0.0,0.719,1.335,1.927,3398.31
34,11495.21,0.0,0.0,0.695,0.671,1.199,1.607,1974.43,45978.4,42.5,45935.9,0.694,0.671,1.199,1.615,1796.45,57473.6,42.5,45935.9,0.0,0.671,1.199,1.615,3770.88
35,10869.44,0.0,0.0,0.736,0.687,1.327,1.943,1866.95,43475.28,40.0,43435.29,0.734,0.687,1.327,1.975,1698.64,54344.72,40.0,43435.29,0.0,0.687,1.327,1.967,3565.59
36,10907.55,0.0,0.0,0.733,0.695,1.263,1.847,1873.49,43627.64,40.0,43587.64,0.732,0.695,1.263,1.855,1704.58,54535.19,40.0,43587.64,0.0,0.695,1.263,1.855,3578.08
37,10539.64,0.0,0.0,0.759,0.711,1.287,1.895,1810.3,42155.91,38.66,42117.25,0.757,0.703,1.287,1.903,1647.08,52695.55,38.66,42117.25,0.0,0.711,1.287,1.895,3457.38
38,10346.16,0.0,0.0,0.773,0.711,1.335,1.887,1777.07,41382.14,38.23,41343.91,0.771,0.711,1.335,1.903,1616.87,51728.31,38.23,41343.91,0.0,0.711,1.335,1.903,3393.94
39,10945.3,0.0,0.0,0.731,0.695,1.279,1.807,1879.98,43778.1,40.3,43737.8,0.729,0.695,1.279,1.815,1710.48,54723.4,40.3,43737.8,0.0,0.695,1.279,1.807,3590.46
40,11289.77,0.0,0.0,0.708,0.679,1.223,1.663,1939.14,45156.31,41.33,45114.98,0.707,0.679,1.223,1.663,1764.28,56446.08,41.33,45114.98,0.0,0.679,1.223,1.663,3703.43
41,11624.88,0.0,0.0,0.688,0.671,1.199,1.559,1996.7,46497.15,42.66,46454.48,0.686,0.671,1.199,1.575,1816.67,58122.03,42.66,46454.48,0.0,0.671,1.199,1.575,3813.38
42,11740.15,0.0,0.0,0.681,0.663,1.183,1.623,2016.5,46957.69,43.5,46914.2,0.68,0.663,1.183,1.583,1834.72,58697.84,43.5,46914.2,0.0,0.663,1.183,1.591,3851.22
43,10932.53,0.0,0.0,0.731,0.687,1.287,1.847,1877.79,43727.74,40.2,43687.54,0.73,0.687,1.279,1.847,1708.51,54660.27,40.2,43687.54,0.0,0.687,1.279,1.847,3586.29
44,10999.37,0.0,0.0,0.727,0.695,1.271,1.887,1889.27,43994.93,40.56,43954.36,0.726,0.687,1.263,1.895,1718.96,54994.3,40.56,43954.36,0.0,0.687,1.263,1.895,3608.23
45,11652.45,0.0,0.0,0.686,0.663,1.231,1.663,2001.44,46607.39,42.96,46564.42,0.685,0.663,1.231,1.655,1821.01,58259.84,42.96,46564.42,0.0,0.663,1.231,1.655,3822.45
46,11428.32,0.0,0.0,0.7,0.671,1.263,2.367,1962.94,45710.23,42.0,45668.24,0.698,0.671,1.255,2.287,1785.94,57138.55,42.0,45668.24,0.0,0.671,1.255,2.303,3748.89
