run,sets_ops,sets_hits,sets_misses,sets_avg_lat,sets_p50,sets_p99,sets_p999,sets_kb,gets_ops,gets_hits,gets_misses,gets_avg_lat,gets_p50,gets_p99,gets_p999,gets_kb,tot_ops,tot_hits,tot_misses,tot_avg_lat,tot_p50,tot_p99,tot_p999,tot_kb
1,8344.67,0.0,0.0,0.959,0.695,3.935,5.567,1433.3,33376.55,32.0,33344.55,0.956,0.695,3.935,5.311,1304.24,41721.22,32.0,33344.55,0.0,0.695,3.935,5.375,2737.54
2,7693.17,0.0,0.0,1.041,0.719,4.047,5.823,1321.38,30769.67,29.83,30739.84,1.038,0.719,4.063,5.887,1202.39,38462.84,29.83,30739.84,1.0,0.719,4.047,5.887,2523.77
3,7755.84,0.0,0.0,1.031,0.727,4.031,5.311,1332.15,31020.59,30.43,30990.15,1.029,0.727,4.031,5.343,1212.24,38776.42,30.43,30990.15,1.0,0.727,4.031,5.343,2544.39
4,7434.57,0.0,0.0,1.076,0.727,4.079,6.015,1276.96,29735.42,28.0,29707.43,1.074,0.727,4.079,5.951,1161.85,37169.99,28.0,29707.43,1.0,0.727,4.079,5.983,2438.81
5,8465.49,0.0,0.0,0.946,0.695,3.903,5.151,1454.05,33859.15,32.0,33827.15,0.943,0.695,3.903,5.151,1323.04,42324.64,32.0,33827.15,0.0,0.695,3.903,5.151,2777.08
6,7614.0,0.0,0.0,1.052,0.735,4.031,5.727,1307.78,30453.25,29.3,30423.95,1.048,0.735,4.015,5.631,1189.99,38067.24,29.3,30423.95,1.0,0.735,4.015,5.631,2497.77
7,8139.29,0.0,0.0,0.984,0.711,3.951,5.087,1398.02,32554.14,31.03,32523.11,0.98,0.711,3.967,5.087,1272.07,40693.43,31.03,32523.11,0.0,0.711,3.967,5.087,2670.09
8,7828.98,0.0,0.0,1.02,0.719,4.031,5.055,1344.71,31313.27,30.66,31282.6,1.02,0.719,4.031,5.055,1223.67,39142.25,30.66,31282.6,1.0,0.719,4.031,5.055,2568.38
9,7648.67,0.0,0.0,1.046,0.719,4.047,5.055,1313.74,30591.71,29.36,30562.35,1.044,0.719,4.031,5.055,1195.4,38240.38,29.36,30562.35,1.0,0.719,4.031,5.055,2509.13
10,8024.37,0.0,0.0,0.999,0.719,3.999,4.927,1378.28,32094.97,30.66,32064.3,0.994,0.719,3.999,4.927,1254.13,40119.33,30.66,32064.3,0.0,0.719,3.999,4.927,2632.41
11,7851.53,0.0,0.0,1.022,0.719,4.015,5.247,1348.58,31404.05,30.66,31373.38,1.016,0.711,3.999,5.343,1227.2,39255.57,30.66,31373.38,1.0,0.711,3.999,5.343,2575.79
12,7897.81,0.0,0.0,1.014,0.727,4.015,5.183,1356.53,31588.49,30.66,31557.82,1.01,0.727,4.015,5.311,1234.39,39486.3,30.66,31557.82,1.0,0.727,4.015,5.279,2590.92
13,8218.65,0.0,0.0,0.974,0.719,3.919,5.215,1411.65,32872.26,31.76,32840.5,0.971,0.719,3.919,5.311,1284.56,41090.91,31.76,32840.5,0.0,0.719,3.919,5.311,2696.21
14,7761.36,0.0,0.0,1.032,0.719,3.999,5.055,1333.1,31042.71,30.56,31012.14,1.028,0.719,3.999,5.087,1213.12,38804.06,30.56,31012.14,1.0,0.719,3.999,5.087,2546.22
15,8436.34,0.0,0.0,0.949,0.695,3.919,4.799,1449.04,33742.43,32.0,33710.43,0.946,0.695,3.919,4.767,1318.49,42178.77,32.0,33710.43,0.0,0.695,3.919,4.767,2767.53
16,8002.6,0.0,0.0,0.998,0.711,3.967,4.991,1374.54,32007.98,30.66,31977.31,0.998,0.711,3.967,4.991,1250.74,40010.58,30.66,31977.31,0.0,0.711,3.967,4.991,2625.28
17,7974.08,0.0,0.0,1.001,0.711,3.967,5.215,1369.64,31893.75,30.66,31863.08,1.002,0.703,3.967,5.279,1246.29,39867.83,30.66,31863.08,1.0,0.703,3.967,5.279,2615.93
18,8141.33,0.0,0.0,0.981,0.703,3.967,5.055,1398.37,32562.64,31.03,32531.61,0.981,0.703,3.967,5.023,1272.4,40703.97,31.03,32531.61,0.0,0.703,3.967,5.023,2670.77
19,8218.45,0.0,0.0,0.972,0.695,3.919,4.991,1411.62,32871.64,31.73,32839.91,0.972,0.695,3.903,4.895,1284.54,41090.09,31.73,32839.91,0.0,0.695,3.903,4.927,2696.15
20,8102.68,0.0,0.0,0.988,0.711,3.967,4.863,1391.73,32407.84,30.8,32377.05,0.985,0.711,3.967,4.895,1266.34,40510.52,30.8,32377.05,0.0,0.711,3.967,4.895,2658.07
21,8128.88,0.0,0.0,0.984,0.711,3.983,5.055,1396.23,32512.34,30.9,32481.44,0.982,0.711,3.983,5.023,1270.42,40641.21,30.9,32481.44,0.0,0.711,3.983,5.023,2666.66
22,8565.22,0.0,0.0,0.933,0.687,3.887,4.735,1471.18,34257.93,32.0,34225.93,0.932,0.687,3.871,4.735,1338.56,42823.15,32.0,34225.93,0.0,0.687,3.887,4.735,2809.74
23,8177.02,0.0,0.0,0.978,0.711,3.951,4.767,1404.5,32705.48,31.33,32674.15,0.976,0.711,3.951,4.799,1278.01,40882.49,31.33,32674.15,0.0,0.711,3.951,4.799,2682.51
24,8047.58,0.0,0.0,0.991,0.711,3.967,5.791,1382.27,32187.4,30.7,32156.7,0.993,0.711,3.967,5.823,1257.74,40234.98,30.7,32156.7,0.0,0.711,3.967,5.823,2640.0
25,7799.03,0.0,0.0,1.024,0.727,3.983,4.927,1339.57,31193.34,30.6,31162.74,1.024,0.727,3.983,4.927,1218.99,38992.37,30.6,31162.74,1.0,0.727,3.983,4.927,2558.56
26,7915.18,0.0,0.0,1.014,0.719,3.983,4.959,1359.52,31658.16,30.66,31627.5,1.008,0.719,3.967,4.799,1237.1,39573.34,30.66,31627.5,1.0,0.719,3.983,4.831,2596.62
27,8011.41,0.0,0.0,0.997,0.719,3.983,4.767,1376.05,32042.63,30.66,32011.96,0.997,0.719,3.983,4.767,1252.09,40054.03,30.66,32011.96,0.0,0.719,3.983,4.767,2628.14
28,7651.62,0.0,0.0,1.045,0.727,4.031,4.991,1314.24,30603.4,29.46,30573.93,1.044,0.727,4.031,5.055,1195.86,38255.02,29.46,30573.93,1.0,0.727,4.031,5.023,2510.11
29,7774.45,0.0,0.0,1.032,0.727,3.999,4.895,1335.34,31095.29,30.56,31064.72,1.026,0.727,3.999,4.863,1215.17,38869.73,30.56,31064.72,1.0,0.727,3.999,4.863,2550.51
30,7756.88,0.0,0.0,1.033,0.743,3.999,4.991,1332.33,31024.28,30.43,30993.85,1.029,0.743,3.999,4.959,1212.39,38781.16,30.43,30993.85,1.0,0.743,3.999,4.959,2544.71
31,7984.52,0.0,0.0,1.001,0.719,3.999,5.087,1371.43,31935.42,30.66,31904.76,1.0,0.711,3.999,5.023,1247.91,39919.94,30.66,31904.76,1.0,0.711,3.999,5.055,2619.34
32,8135.43,0.0,0.0,0.98,0.719,3.951,4.895,1397.36,32539.11,30.86,32508.25,0.982,0.711,3.951,4.895,1271.46,40674.54,30.86,32508.25,0.0,0.711,3.951,4.895,2668.82
33,7650.47,0.0,0.0,1.045,0.727,4.031,5.471,1314.05,30599.02,29.6,30569.43,1.044,0.727,4.031,5.471,1195.71,38249.5,29.6,30569.43,1.0,0.727,4.031,5.471,2509.76
34,7985.16,0.0,0.0,1.0,0.719,3.983,5.247,1371.54,31938.62,30.66,31907.96,1.0,0.719,3.983,5.215,1248.04,39923.78,30.66,31907.96,1.0,0.719,3.983,5.215,2619.58
35,8494.87,0.0,0.0,0.942,0.695,3.903,4.831,1459.1,33976.71,32.0,33944.72,0.94,0.695,3.903,4.799,1327.61,42471.59,32.0,33944.72,0.0,0.695,3.903,4.799,2786.71
36,8205.41,0.0,0.0,0.971,0.703,3.951,4.831,1409.38,32818.65,31.73,32786.92,0.974,0.703,3.951,4.799,1282.47,41024.06,31.73,32786.92,0.0,0.703,3.951,4.831,2691.85
37,8426.62,0.0,0.0,0.945,0.687,3.887,4.863,1447.37,33703.6,32.0,33671.6,0.948,0.687,3.903,4.863,1316.98,42130.21,32.0,33671.6,0.0,0.687,3.903,4.863,2764.35
38,7889.26,0.0,0.0,1.014,0.727,3.999,4.959,1355.07,31554.25,30.66,31523.58,1.012,0.727,3.983,4.991,1233.05,39443.51,30.66,31523.58,1.0,0.727,3.983,4.991,2588.12
39,8095.44,0.0,0.0,0.989,0.695,3.951,4.767,1390.48,32378.78,31.33,32347.45,0.986,0.695,3.935,4.767,1265.27,40474.22,31.33,32347.45,0.0,0.695,3.935,4.767,2655.76
40,8059.47,0.0,0.0,0.991,0.719,3.951,4.767,1384.31,32235.16,30.66,32204.49,0.991,0.719,3.951,4.799,1259.6,40294.63,30.66,32204.49,0.0,0.719,3.951,4.767,2643.9
41,8107.01,0.0,0.0,0.986,0.703,3.935,5.151,1392.47,32425.31,30.73,32394.58,0.985,0.703,3.935,5.055,1267.01,40532.32,30.73,32394.58,0.0,0.703,3.935,5.087,2659.49
