run,sets_ops,sets_hits,sets_misses,sets_avg_lat,sets_p50,sets_p99,sets_p999,sets_kb,gets_ops,gets_hits,gets_misses,gets_avg_lat,gets_p50,gets_p99,gets_p999,gets_kb,tot_ops,tot_hits,tot_misses,tot_avg_lat,tot_p50,tot_p99,tot_p999,tot_kb
1,10891.96,0.0,0.0,0.734,0.703,1.319,2.143,1870.82,43565.36,39.96,43525.39,0.733,0.703,1.319,2.159,1702.15,54457.31,39.96,43525.39,0.0,0.703,1.319,2.159,3572.96
2,10911.25,0.0,0.0,0.732,0.703,1.271,1.799,1874.13,43642.58,40.03,43602.55,0.732,0.703,1.271,1.823,1705.17,54553.83,40.03,43602.55,0.0,0.703,1.271,1.815,3579.3
3,10423.9,0.0,0.0,0.742,0.703,1.311,1.887,1790.42,41692.96,38.06,41654.9,0.741,0.703,1.303,1.895,1628.96,52116.86,38.06,41654.9,0.0,0.703,1.303,1.887,3419.38
4,11347.43,0.0,0.0,0.729,0.695,1.279,1.863,1949.05,45387.08,41.93,45345.15,0.728,0.695,1.279,1.839,1773.36,56734.52,41.93,45345.15,0.0,0.695,1.279,1.839,3722.41
5,11061.49,0.0,0.0,0.723,0.695,1.271,1.847,1899.94,44243.28,41.03,44202.25,0.721,0.695,1.271,1.863,1728.69,55304.76,41.03,44202.25,0.0,0.695,1.271,1.863,3628.63
6,10805.47,0.0,0.0,0.74,0.703,1.295,1.895,1855.96,43218.64,39.6,43179.04,0.739,0.703,1.295,1.887,1688.59,54024.11,39.6,43179.04,0.0,0.703,1.295,1.887,3544.55
7,10895.3,0.0,0.0,0.733,0.695,1.327,2.367,1871.39,43578.59,39.96,43538.62,0.733,0.695,1.327,2.367,1702.66,54473.88,39.96,43538.62,0.0,0.695,1.327,2.367,3574.05
8,10916.71,0.0,0.0,0.733,0.695,1.303,1.879,1875.07,43664.25,40.2,43624.05,0.731,0.695,1.303,1.895,1706.03,54580.96,40.2,43624.05,0.0,0.695,1.303,1.895,3581.1
9,10767.05,0.0,0.0,0.719,0.687,1.271,1.839,1849.36,43065.47,39.87,43025.6,0.717,0.687,1.263,1.839,1682.66,53832.52,39.87,43025.6,0.0,0.687,1.263,1.839,3532.02
10,11326.55,0.0,0.0,0.731,0.687,1.295,1.999,1945.46,45302.99,41.72,45261.27,0.729,0.687,1.295,1.975,1770.06,56629.54,41.72,45261.27,0.0,0.687,1.295,1.983,3715.53
11,10826.05,0.0,0.0,0.738,0.703,1.303,1.943,1859.49,43301.2,39.6,43261.6,0.737,0.695,1.295,1.927,1691.81,54127.25,39.6,43261.6,0.0,0.703,1.295,1.935,3551.31
12,10937.11,0.0,0.0,0.731,0.687,1.287,1.911,1878.57,43745.88,40.26,43705.62,0.73,0.687,1.287,1.935,1709.22,54682.99,40.26,43705.62,0.0,0.687,1.287,1.927,3587.79
13,10857.26,0.0,0.0,0.737,0.695,1.327,2.007,1864.86,43426.47,39.8,43386.67,0.735,0.695,1.327,1.999,1696.72,54283.73,39.8,43386.67,0.0,0.695,1.327,1.999,3561.57
14,10844.06,0.0,0.0,0.737,0.695,1.335,1.935,1862.59,43373.28,39.76,43333.51,0.736,0.695,1.327,1.927,1694.64,54217.34,39.76,43333.51,0.0,0.695,1.335,1.927,3557.23
15,11224.42,0.0,0.0,0.713,0.687,1.263,1.919,1927.92,44895.08,41.33,44853.75,0.711,0.687,1.263,1.911,1754.11,56119.5,41.33,44853.75,0.0,0.687,1.263,1.911,3682.03
16,10859.15,0.0,0.0,0.736,0.695,1.295,2.007,1865.18,43433.64,39.86,43393.77,0.735,0.695,1.295,1.983,1697.0,54292.79,39.86,43393.77,0.0,0.695,1.295,1.991,3562.19
17,10969.74,0.0,0.0,0.729,0.695,1.295,1.975,1884.18,43876.0,40.4,43835.61,0.728,0.687,1.295,1.943,1714.31,54845.75,40.4,43835.61,0.0,0.695,1.295,1.951,3598.48
18,10495.92,0.0,0.0,0.737,0.703,1.295,1.927,1802.79,41981.08,38.48,41942.6,0.736,0.695,1.295,1.879,1640.24,52477.01,38.48,41942.6,0.0,0.695,1.295,1.895,3443.03
19,11470.06,0.0,0.0,0.721,0.687,1.263,1.855,1970.11,45877.26,42.62,45834.64,0.72,0.687,1.263,1.855,1792.54,57347.32,42.62,45834.64,0.0,0.687,1.263,1.855,3762.65
20,10909.67,0.0,0.0,0.732,0.695,1.287,1.855,1873.86,43635.88,39.96,43595.91,0.732,0.695,1.287,1.879,1704.89,54545.55,39.96,43595.91,0.0,0.695,1.287,1.871,3578.75
