run,sets_ops,sets_hits,sets_misses,sets_avg_lat,sets_p50,sets_p99,sets_p999,sets_kb,gets_ops,gets_hits,gets_misses,gets_avg_lat,gets_p50,gets_p99,gets_p999,gets_kb,tot_ops,tot_hits,tot_misses,tot_avg_lat,tot_p50,tot_p99,tot_p999,tot_kb
1,9129.28,0.0,0.0,0.879,0.695,6.559,10.943,1568.05,36514.15,33.33,36480.82,0.874,0.695,6.367,10.943,1426.6,45643.42,33.33,36480.82,0.0,0.695,6.399,10.943,2994.66
2,8100.22,0.0,0.0,0.988,0.703,8.319,11.199,1391.31,32398.46,31.06,32367.4,0.986,0.703,8.319,11.263,1266.01,40498.68,31.06,32367.4,0.0,0.703,8.319,11.199,2657.32
3,8673.26,0.0,0.0,0.922,0.687,8.095,11.263,1489.74,34690.38,32.0,34658.38,0.921,0.687,8.095,11.199,1355.4,43363.64,32.0,34658.38,0.0,0.687,8.095,11.199,2845.14
4,8947.14,0.0,0.0,0.895,0.695,7.391,11.007,1536.78,35785.9,33.2,35752.7,0.892,0.695,7.455,11.071,1398.22,44733.04,33.2,35752.7,0.0,0.695,7.423,11.071,2935.0
5,8627.09,0.0,0.0,0.897,0.711,6.943,10.559,1481.81,34505.92,32.09,34473.83,0.896,0.711,6.911,10.687,1348.22,43133.01,32.09,34473.83,0.0,0.711,6.911,10.623,2830.03
6,8986.23,0.0,0.0,0.921,0.711,7.295,11.199,1543.49,35941.8,33.1,35908.7,0.919,0.703,7.263,11.135,1404.29,44928.03,33.1,35908.7,0.0,0.703,7.263,11.135,2947.78
7,8696.11,0.0,0.0,0.92,0.703,7.647,11.007,1493.66,34781.8,32.0,34749.8,0.918,0.703,7.583,11.007,1358.96,43477.91,32.0,34749.8,0.0,0.703,7.583,11.007,2852.62
8,8814.9,0.0,0.0,0.908,0.695,7.615,10.943,1514.07,35256.75,32.56,35224.19,0.905,0.695,7.455,10.879,1377.53,44071.66,32.56,35224.19,0.0,0.695,7.487,10.879,2891.6
9,9211.07,0.0,0.0,0.871,0.711,6.079,10.943,1582.1,36841.47,33.33,36808.14,0.866,0.703,5.887,10.879,1439.35,46052.54,33.33,36808.14,0.0,0.711,5.919,10.879,3021.45
10,8885.14,0.0,0.0,0.9,0.703,6.751,11.007,1526.13,35537.22,32.86,35504.36,0.899,0.695,6.783,11.007,1388.49,44422.36,32.86,35504.36,0.0,0.695,6.783,11.007,2914.62
11,9225.4,0.0,0.0,0.869,0.687,6.975,10.879,1584.56,36898.92,33.33,36865.59,0.865,0.687,6.911,10.879,1441.59,46124.32,33.33,36865.59,0.0,0.687,6.911,10.879,3026.15
12,8827.24,0.0,0.0,0.904,0.703,6.847,11.007,1516.19,35306.37,32.63,35273.74,0.905,0.703,6.943,11.007,1379.47,44133.61,32.63,35273.74,0.0,0.703,6.943,11.007,2895.66
13,9183.98,0.0,0.0,0.839,0.687,5.951,10.367,1577.45,36733.11,33.55,36699.56,0.842,0.687,6.111,10.431,1435.18,45917.09,33.55,36699.56,0.0,0.687,6.079,10.431,3012.63
14,9201.13,0.0,0.0,0.869,0.695,6.687,10.367,1580.39,36801.77,33.4,36768.38,0.868,0.687,6.751,10.431,1437.82,46002.9,33.4,36768.38,0.0,0.687,6.719,10.431,3018.21
15,8987.15,0.0,0.0,0.891,0.719,6.463,10.751,1543.65,35945.82,33.33,35912.49,0.888,0.719,6.463,10.751,1404.46,44932.97,33.33,35912.49,0.0,0.719,6.463,10.751,2948.11
16,9142.85,0.0,0.0,0.874,0.711,5.823,10.879,1570.38,36568.85,33.33,36535.52,0.873,0.711,5.855,10.879,1428.73,45711.7,33.33,36535.52,0.0,0.711,5.855,10.879,2999.12
17,9204.14,0.0,0.0,0.87,0.695,6.591,10.751,1580.91,36814.03,33.33,36780.7,0.867,0.695,6.527,10.751,1438.29,46018.18,33.33,36780.7,0.0,0.695,6.527,10.751,3019.2
18,9535.84,0.0,0.0,0.84,0.687,5.759,11.071,1637.88,38140.51,34.66,38105.85,0.837,0.687,5.695,11.007,1490.14,47676.35,34.66,38105.85,0.0,0.687,5.727,11.007,3128.03
19,9102.58,0.0,0.0,0.878,0.695,6.751,10.943,1563.47,36407.35,33.33,36374.02,0.877,0.687,6.815,10.943,1422.44,45509.93,33.33,36374.02,0.0,0.687,6.815,10.943,2985.91
20,9605.43,0.0,0.0,0.835,0.695,5.375,10.303,1649.84,38418.94,34.7,38384.25,0.83,0.687,5.183,10.239,1500.98,48024.37,34.7,38384.25,0.0,0.687,5.215,10.239,3150.82
21,9284.23,0.0,0.0,0.861,0.695,6.399,11.071,1594.67,37134.25,33.56,37100.68,0.86,0.695,6.431,11.071,1450.79,46418.48,33.56,37100.68,0.0,0.695,6.431,11.071,3045.46
22,9612.39,0.0,0.0,0.834,0.679,6.207,10.431,1651.03,38446.74,34.66,38412.08,0.83,0.679,6.079,10.559,1502.06,48059.14,34.66,38412.08,0.0,0.679,6.111,10.495,3153.09
23,8304.29,0.0,0.0,0.964,0.703,7.295,10.879,1426.36,33214.39,31.93,33182.46,0.961,0.703,7.231,10.815,1297.92,41518.67,31.93,33182.46,0.0,0.703,7.231,10.815,2724.28
24,8879.9,0.0,0.0,0.9,0.703,6.655,10.815,1525.23,35516.5,33.03,35483.47,0.899,0.703,6.687,10.815,1387.7,44396.4,33.03,35483.47,0.0,0.703,6.687,10.815,2912.94
25,9539.17,0.0,0.0,0.869,0.687,6.687,10.623,1638.45,38154.07,34.51,38119.56,0.865,0.687,6.623,10.687,1490.64,47693.24,34.51,38119.56,0.0,0.687,6.655,10.687,3129.09
26,8488.64,0.0,0.0,0.914,0.703,7.071,10.943,1458.03,33951.9,31.16,33920.74,0.91,0.703,7.039,10.943,1326.52,42440.54,31.16,33920.74,0.0,0.703,7.039,10.943,2784.55
27,9250.53,0.0,0.0,0.894,0.695,7.295,11.199,1588.89,36999.39,34.48,36964.91,0.893,0.687,7.359,11.135,1445.65,46249.91,34.48,36964.91,0.0,0.687,7.359,11.135,3034.54
28,8936.61,0.0,0.0,0.896,0.687,7.327,11.135,1534.97,35743.29,33.33,35709.96,0.893,0.687,7.359,11.135,1396.58,44679.89,33.33,35709.96,0.0,0.687,7.359,11.135,2931.55
29,9361.24,0.0,0.0,0.853,0.695,6.175,10.623,1607.89,37442.18,34.13,37408.05,0.853,0.687,6.175,10.687,1462.87,46803.42,34.13,37408.05,0.0,0.687,6.175,10.687,3070.76
30,9147.7,0.0,0.0,0.872,0.687,7.039,11.135,1571.22,36588.05,33.33,36554.72,0.873,0.687,7.103,11.135,1429.48,45735.76,33.33,36554.72,0.0,0.687,7.071,11.135,3000.7
31,9468.34,0.0,0.0,0.843,0.695,5.663,10.111,1626.29,37870.68,34.66,37836.02,0.843,0.695,5.695,10.175,1479.63,47339.02,34.66,37836.02,0.0,0.695,5.695,10.175,3105.92
32,8857.18,0.0,0.0,0.876,0.695,7.007,10.879,1521.32,35426.46,32.26,35394.2,0.872,0.695,6.975,10.815,1384.1,44283.64,32.26,35394.2,0.0,0.695,6.975,10.815,2905.41
33,9609.77,0.0,0.0,0.861,0.687,6.751,10.815,1650.58,38436.32,34.79,38401.53,0.859,0.687,6.751,10.815,1501.67,48046.09,34.79,38401.53,0.0,0.687,6.751,10.815,3152.25
34,9160.45,0.0,0.0,0.869,0.703,6.015,10.751,1573.41,36638.83,33.33,36605.5,0.872,0.695,6.175,10.815,1431.46,45799.28,33.33,36605.5,0.0,0.695,6.143,10.815,3004.87
35,8740.1,0.0,0.0,0.914,0.711,6.495,10.751,1501.22,34957.61,32.03,34925.59,0.914,0.711,6.495,10.751,1365.81,43697.71,32.03,34925.59,0.0,0.711,6.495,10.751,2867.03
36,8553.31,0.0,0.0,0.933,0.703,7.967,11.071,1469.13,34210.39,32.0,34178.4,0.934,0.703,8.031,11.071,1336.71,42763.7,32.0,34178.4,0.0,0.703,8.031,11.071,2805.84
37,8828.43,0.0,0.0,0.904,0.703,7.039,10.495,1516.39,35311.16,32.56,35278.6,0.905,0.703,7.071,10.495,1379.65,44139.6,32.56,35278.6,0.0,0.703,7.071,10.495,2896.04
38,8504.87,0.0,0.0,0.911,0.711,7.199,11.007,1460.81,34016.85,31.25,33985.6,0.908,0.703,7.167,10.943,1329.06,42521.72,31.25,33985.6,0.0,0.703,7.167,10.943,2789.88
39,9152.88,0.0,0.0,0.874,0.711,6.239,10.943,1572.11,36608.67,33.33,36575.34,0.872,0.711,6.239,10.943,1430.29,45761.55,33.33,36575.34,0.0,0.711,6.239,10.943,3002.39
40,9003.8,0.0,0.0,0.887,0.727,5.855,10.815,1546.51,36012.45,33.33,35979.12,0.887,0.727,5.887,10.815,1407.06,45016.25,33.33,35979.12,0.0,0.727,5.887,10.815,2953.57
41,9215.95,0.0,0.0,0.868,0.711,6.079,10.815,1582.94,36861.07,33.33,36827.74,0.866,0.711,6.015,10.815,1440.12,46077.02,33.33,36827.74,0.0,0.711,6.047,10.815,3023.06
42,8738.79,0.0,0.0,0.915,0.711,7.647,11.263,1500.99,34952.39,32.03,34920.36,0.914,0.703,7.583,11.263,1365.61,43691.18,32.03,34920.36,0.0,0.703,7.615,11.263,2866.6
43,8152.97,0.0,0.0,0.98,0.727,8.639,11.327,1400.37,32609.27,31.33,32577.94,0.98,0.727,8.703,11.327,1274.26,40762.23,31.33,32577.94,0.0,0.727,8.639,11.327,2674.63
44,9156.78,0.0,0.0,0.873,0.703,6.111,10.879,1572.78,36624.59,33.33,36591.25,0.872,0.703,6.143,10.943,1430.91,45781.37,33.33,36591.25,0.0,0.703,6.143,10.943,3003.68
45,8618.03,0.0,0.0,0.93,0.719,7.839,11.199,1480.25,34469.67,32.0,34437.67,0.926,0.719,7.743,11.199,1346.81,43087.7,32.0,34437.67,0.0,0.719,7.775,11.199,2827.06
46,9337.56,0.0,0.0,0.858,0.711,5.791,11.135,1603.83,37347.73,34.1,37313.63,0.854,0.703,5.567,11.135,1459.18,46685.28,34.1,37313.63,0.0,0.703,5.631,11.135,3063.01
47,8915.65,0.0,0.0,0.897,0.719,6.527,11.071,1531.37,35659.77,33.16,35626.61,0.895,0.711,6.559,11.071,1393.3,44575.43,33.16,35626.61,0.0,0.711,6.559,11.071,2924.67
48,8990.13,0.0,0.0,0.891,0.711,7.039,10.943,1544.16,35957.19,33.3,35923.9,0.888,0.711,6.943,10.943,1404.9,44947.33,33.3,35923.9,0.0,0.711,6.975,10.943,2949.06
49,8982.11,0.0,0.0,0.864,0.711,5.919,10.239,1542.77,35926.12,32.35,35893.76,0.86,0.711,5.823,10.239,1403.58,44908.23,32.35,35893.76,0.0,0.711,5.855,10.239,2946.35
50,9336.5,0.0,0.0,0.888,0.711,6.847,10.943,1603.65,37343.09,34.48,37308.61,0.884,0.711,6.751,10.879,1459.04,46679.59,34.48,37308.61,0.0,0.711,6.783,10.879,3062.69
